1,トマト,1,1
2,キャベツ,1,1
3,レタス,1,1
4,白菜,1,1
5,玉ねぎ,1,1
6,長ネギ,1,1
7,もやし,1,1
8,ほうれん草,1,1
9,小松菜,1,1
10,きゅうり,1,1
11,なす,1,1
12,ピーマン,1,1
13,カボチャ,1,1
14,にんじん,1,1
15,大根,1,1
16,生姜,1,1
17,ニンニク,1,1
18,レンコン,1,1
19,アボカド,1,1
20,じゃがいも,1,1
21,さつまいも,1,1
22,椎茸,1,1
23,しめじ,1,1
24,エリンギ,1,1
25,えのきたけ,1,1
26,まいたけ,1,1
27,牛薄切り,2,50
28,牛焼肉用,2,50
29,牛ステーキ,2,50
30,牛ブロック,2,50
31,豚薄切り,2,50
32,豚焼肉用,2,50
33,豚生姜焼き用,2,50
34,豚ブロック,2,50
35,鶏もも,2,50
36,鶏むね,2,50
37,鶏手羽先,2,50
38,鶏手羽元,2,50
39,牛挽肉,2,50
40,豚挽肉,2,50
41,合い挽き,2,50
42,鮭,3,1
43,ぶり,3,1
44,さば,3,1
45,さんま,3,1
46,あじ,3,1
47,たい,3,1
48,えび,3,1
49,イカ,3,1
50,タコ,3,1
51,卵,4,1
